id,name,network_level,source,lat,lon,coord_source,coord_quality,voltage_in_kv,voltage_out_kv,voltage_levels,voltage_source,capacity_available_mw,capacity_reserved_mw,capacity_total_mw,operator,commune,departement,region,function,substation_type,osm_id,osm_match_score,osm_match_distance_m,source_id,code_insee,capacity_source,last_updated,notes
RTE_BETHE,BETHENY,TX,RTE_ODRE,49.2754807,4.0418206,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Marne,,Poste de transformation,traction,way_231743539,1.0,,BETHE,,MISSING,2025-12-13T03:11:38.849162,
RTE_BETHI,BETHISY,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Oise,,Poste de transformation,,,,,BETHI,,MISSING,2025-12-13T03:11:38.849166,
RTE_BREV7,BREVANNES,TX,RTE_ODRE,48.7579007,2.4681729,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Val-de-Marne,,Poste de transformation,traction,way_100212217,0.9,,BREV7,,MISSING,2025-12-13T03:11:38.849170,
RTE_BXBRE,BEAUBREUIL,TX,RTE_ODRE,45.8618286,1.2809321,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Haute-Vienne,,Poste de transformation,distribution,way_95532056,1.0,,BXBRE,,MISSING,2025-12-13T03:11:38.849174,
RTE_C.FO6,CAILLOUX-SUR-FONTAINES,TX,RTE_ODRE,45.8651501,4.8989313,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Rhône,,Poste de transformation,transmission,way_96082284,1.0,,C.FO6,,MISSING,2025-12-13T03:11:38.849178,
RTE_C.HUI,CONDE-SUR-HUISNE,TX,RTE_ODRE,48.3868801,0.8535782,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Orne,,Poste de transformation,traction,way_178762386,0.9,,C.HUI,,MISSING,2025-12-13T03:11:38.849182,
RTE_C.LAF,CHARLES-LAFFITTE,TX,RTE_ODRE,47.7498121,7.3679388,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,,,Poste de transformation,minor_distribution,way_186089080,0.9,,C.LAF,,MISSING,2025-12-13T03:11:38.849196,
RTE_C.REG,CHAMPS-REGNAUD,TX,RTE_ODRE,47.3526841,5.0599218,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Côte-d'Or,,Poste de transformation,transmission,way_122061929,1.0,,C.REG,,MISSING,2025-12-13T03:11:38.849200,
RTE_C.ROI,CHOISY-LE-ROI,TX,RTE_ODRE,48.7724505,2.408195,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Val-de-Marne,,Poste de transformation,distribution,way_491948658,1.0,,C.ROI,,MISSING,2025-12-13T03:11:38.849204,
RTE_CANCO,CANCON,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Lot-et-Garonne,,Poste de transformation,,,,,CANCO,,MISSING,2025-12-13T03:11:38.849208,
RTE_CHAG5,CHAGNOT,TX,RTE_ODRE,,,MISSING,MISSING,90.0,,90kV,OFFICIAL,,,,RTE,,Cher,,Poste de transformation,,,,,CHAG5,,MISSING,2025-12-13T03:11:38.849211,
RTE_CHAL5,CHALON (S.N.C.F.),TX,RTE_ODRE,46.7629917,4.8610856,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Saône-et-Loire,,Poste de transformation,transmission,way_122568639,1.0,,CHAL5,,MISSING,2025-12-13T03:11:38.849215,
RTE_CHAL6,CHALON (KODAK-PATHE),TX,RTE_ODRE,46.7629917,4.8610856,OSM,EXACT,63.0,,63kV,OFFICIAL,,,,RTE,,Saône-et-Loire,,Poste de transformation,transmission,way_122568639,1.0,,CHAL6,,MISSING,2025-12-13T03:11:38.849219,
RTE_CHAV5,CHAVAGNES,TX,RTE_ODRE,46.8697065,-1.2619114,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Vendée,,Poste de transformation,distribution,way_179978382,1.0,,CHAV5,,MISSING,2025-12-13T03:11:38.849222,
RTE_CHED5,CHEDDE (S.N.C.F.),TX,RTE_ODRE,45.9193523,6.7125897,OSM,EXACT,45.0,,45kV,OFFICIAL,,,,RTE,,Haute-Savoie,,Poste de transformation,minor_distribution,way_78678087,0.9,,CHED5,,MISSING,2025-12-13T03:11:38.849226,
RTE_COISE,COISELET,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Jura,,Poste de transformation,,,,,COISE,,MISSING,2025-12-13T03:11:38.849229,
RTE_CONTA,CONTAMINE,TX,RTE_ODRE,45.9723418,6.387337,OSM,EXACT,225.0,,225kV,OFFICIAL,,,,RTE,,Savoie,,Poste de transformation,minor_distribution,node_3732312395,1.0,,CONTA,,MISSING,2025-12-13T03:11:38.849233,
RTE_CORB7,CORBEIL,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Essonne,,Poste de transformation,,,,,CORB7,,MISSING,2025-12-13T03:11:38.849236,
RTE_CORB9,CORBIGNY,TX,RTE_ODRE,,,MISSING,MISSING,63.0,,63kV,OFFICIAL,,,,RTE,,Nièvre,,Poste de transformation,,,,,CORB9,,MISSING,2025-12-13T03:11:38.849240,
RTE_COTE,COTE (LA),TX,RTE_ODRE,45.2548152,4.4153524,OSM,EXACT,90.0,,90kV,OFFICIAL,,,,RTE,,Creuse,,Poste de transformation,minor_distribution,node_5893414173,1.0,,COTE,,MISSING,2025-12-13T03:11:38.849243,
